         ps       /tb/rst        /tb/x             
          delta     /tb/ena   /tb/detector         
                      /tb/clk                      
                       /tb/DetectionCode           
          0  +2         1 1 0 00000000 0 0 
      50000  +1         1 1 1 00000000 0 0 
     100000  +1         0 1 0 00000001 0 0 
     150000  +1         0 1 1 00000001 0 0 
     200000  +1         0 1 0 00000010 0 0 
     250000  +1         0 1 1 00000010 0 0 
     300000  +1         0 1 0 00000011 0 0 
     350000  +1         0 1 1 00000011 0 0 
     400000  +1         0 1 0 00000100 0 0 
     450000  +1         0 1 1 00000100 0 0 
     500000  +1         0 1 0 00000101 0 0 
     550000  +1         0 1 1 00000101 0 0 
     600000  +1         0 1 0 00000110 0 0 
     650000  +1         0 1 1 00000110 0 0 
     700000  +1         0 1 0 00000111 0 0 
     750000  +1         0 1 1 00000111 0 0 
     800000  +1         0 1 0 00001000 0 0 
     850000  +1         0 1 1 00001000 0 0 
     900000  +1         0 1 0 00001001 0 0 
     950000  +2         0 1 1 00001001 0 1 
    1000000  +1         0 1 0 00001010 0 1 
    1050000  +1         0 1 1 00001010 0 1 
    1100000  +1         0 1 0 00001011 0 1 
    1150000  +1         0 1 1 00001011 0 1 
    1200000  +1         0 1 0 00001100 0 1 
    1250000  +1         0 1 1 00001100 0 1 
    1300000  +1         0 1 0 00001011 0 1 
    1350000  +1         0 1 1 00001011 0 1 
    1400000  +1         0 1 0 00001010 0 1 
    1450000  +2         0 1 1 00001010 0 0 
    1500000  +1         0 1 0 00001001 0 0 
    1550000  +1         0 1 1 00001001 0 0 
    1600000  +1         0 1 0 00001000 0 0 
    1650000  +1         0 1 1 00001000 0 0 
    1700000  +1         0 1 0 00000111 0 0 
    1750000  +1         0 1 1 00000111 0 0 
    1800000  +1         0 1 0 00000110 0 0 
    1850000  +1         0 1 1 00000110 0 0 
    1900000  +1         0 1 0 00000101 0 0 
    1950000  +1         0 1 1 00000101 0 0 
    2000000  +1         0 1 0 00000100 0 0 
    2050000  +1         0 1 1 00000100 0 0 
    2100000  +1         0 1 0 00000011 0 0 
    2150000  +1         0 1 1 00000011 0 0 
    2200000  +1         0 1 0 00000010 0 0 
    2250000  +1         0 1 1 00000010 0 0 
    2300000  +1         0 1 0 00000001 0 0 
    2350000  +1         0 1 1 00000001 0 0 
    2400000  +1         0 1 0 00000000 0 0 
    2450000  +1         0 1 1 00000000 0 0 
    2500000  +1         0 1 0 00000001 0 0 
    2550000  +1         0 1 1 00000001 0 0 
